"","Fire","Transect","Treated","Diameter","ScorchHt","CharHt","Slope","fake"
"323",3,15,1,0.01,-1.004,0.316,-0.959,0.835501200685822
"324",3,15,1,0.184,-0.867,0.775,-0.959,1.28637197716904
"325",3,15,1,-1.005,-1.466,0.316,0.365,0.819136392267578
"326",3,15,1,-0.86,-1.466,0,0.365,1.00540275490381
"327",3,15,1,-0.425,-1.216,0.548,0.365,-1.03743763112084
"328",3,15,1,-1.295,-1.154,0,0.365,0.031757336295138
"329",3,16,0,-0.498,-1.266,0,0.365,-0.936949403474836
"330",3,16,0,-1.078,-1.466,0,0.365,-0.715828243240593
"331",3,16,0,0.3,-1.116,0.707,0.365,-0.691969167189861
"332",3,16,0,0.445,-1.466,0,0.365,0.942633345749677
"333",3,16,0,-1.295,-1.254,0.548,-1.106,-1.88203417966143
"334",3,16,0,-0.86,-1.229,0.775,-1.106,1.44219805201135
"335",3,16,0,-0.57,-1.329,0,-1.106,1.52794409380787
"336",3,16,0,-1.005,-1.204,0.894,-1.106,-1.00004642919732
"337",3,16,0,-0.57,-1.229,0.548,-1.106,1.20107664133579
"338",3,16,0,-0.788,-1.466,0,-1.106,1.87978503715327
"339",3,16,0,-1.223,-1.291,0.837,-1.106,1.00471626494289
"340",3,16,0,-0.86,-1.279,0.447,-1.106,-0.210643699815319
"341",3,16,0,0.706,-1.316,0,0.954,1.01643685738899
"342",3,16,0,0.3,-0.467,2.72,0.954,0.0712200669487609
"343",3,16,0,0.851,-0.854,1,0.954,0.331839267824196
"344",3,16,0,0.59,-0.38,1.924,0.954,-0.313608472607144
"345",3,16,0,2.185,0.019,0.707,-0.223,-0.883741136930887
"346",3,16,0,0.3,-1.466,0,-0.223,0.341259199006297
"347",3,16,0,-0.57,0.706,1.761,-0.223,-1.11320096156873
"348",3,16,0,0.372,0.905,1.304,-0.223,-2.10297646948663
"349",3,16,0,0.59,-0.492,1.975,-0.665,0.603575688846273
"350",3,16,0,0.662,-0.193,1.817,-0.665,0.195627677837287
"351",3,16,0,-0.063,-0.305,0.316,-0.665,0.811206977230264
"352",3,16,0,-0.57,-0.617,1.924,-0.665,0.0461404008065639
"353",3,16,0,1.025,-0.58,0.447,-0.665,-1.30140353267405
"354",3,16,0,2.475,-1.466,0.837,-0.665,1.05686592636629
"355",3,16,0,-0.57,-1.179,0.949,-0.665,1.21797088573174
"356",3,16,0,-1.005,-0.692,1,-0.665,-1.44184639557811
"357",3,16,0,-0.715,-0.68,0.548,-0.665,-1.06246458959838
"358",3,16,0,-0.933,0.531,2.646,-0.665,-0.236031530459163
"359",3,16,0,-0.643,-0.018,1.342,-0.665,0.10469693993536
"360",3,16,0,-0.498,-0.517,1.581,-0.665,-0.359329412727239
"361",3,16,0,1.315,8.194,2.074,-0.665,-0.172945423601112
"362",3,16,0,0.59,0.082,1.924,-0.665,0.560349812946889
"363",3,16,0,1.895,0.406,2.121,-0.665,-1.34795176348447
"364",3,16,0,-0.425,0.718,2,-0.665,-0.523235012671076
"365",3,16,0,2.185,1.093,2.47,-0.665,0.069903919891117
"366",3,16,0,-1.368,-0.617,1.225,-0.665,0.676842405458817
"367",3,16,0,2.04,1.068,2.569,-0.665,-1.37332315340192
"368",3,16,0,0.88,1.192,2.121,-0.665,-0.314807311979763
"369",3,16,0,1.75,0.93,2.775,-0.297,-0.196762152134885
"370",3,16,0,0.155,0.88,2.608,-0.297,-0.436904560448345
